Gene Symbol,logFC,significant
ABCA12,2.0965661809859717,True
ABCC2,-1.6065906062238522,True
AC007906.2,2.02200274033823,True
ACAA2,-1.5022318120864788,True
ACER2,1.7437751367621692,True
ACTA2,2.3902260618037534,True
ADAM19,-1.81179571127759,True
ADORA2B,2.1102593153973506,True
AEN,1.8005346753199751,True
AKR1B10,1.8458339740339882,True
ALDH1A3,2.8883961620564276,True
ALDOC,-1.86572354620074,True
ANGPTL4,1.6649855894398087,True
ASCC3,2.042850767361651,True
ASNS,-1.6544209992372694,True
ASTN2,1.6443806400171677,True
ATP2A3,-1.6383386330267198,True
AXIN2,-2.218707564888526,True
AXL,1.700646363567341,True
BAIAP3,-1.628967369954209,True
BAX,1.8104482038779643,True
BCAR3,2.3865340374141106,True
BHLHE40,1.5198266406270737,True
BIK,1.7416624971054142,True
BLCAP,1.5922546478397506,True
BTBD19,1.7391482769752176,True
BTG2,1.8114049426640921,True
C19orf33,2.543377390758109,True
C1orf116,2.036933449259466,True
C1QL4,-2.1703337598292163,True
C2orf88,1.6783809884257155,True
CCND1,1.8976417454508594,True
CDK6,1.918873021654579,True
CDKN1A,5.467262390101821,True
CDKN1C,-1.8026733334954534,True
CHRD,-1.5567253365371825,True
CLDN2,-1.5674844342681629,True
CLIP4,1.5677074647875027,True
CLN8,1.5367248350533822,True
COL12A1,1.8527566103985253,True
COL17A1,2.2518680251354413,True
CPA4,5.827354269582294,True
CREB3L4,-1.5569754985985653,True
CRIP1,-1.6298271885013582,True
CRLF1,-1.6993663405096668,True
CST6,1.6717692657633652,True
CSTA,-1.755959322798105,True
CTHRC1,-1.8946928453767127,True
CTSH,-1.5091775480059235,True
CYFIP2,1.8354256950254533,True
DDB2,1.5621384091970238,True
DDIT4L,-2.0957318140093437,True
DKK1,2.680973021101507,True
DUSP14,2.028895602105533,True
EBI3,1.5508089346531455,True
EDN1,1.805496911544679,True
EMP1,2.6737077368097104,True
EPHA2,1.5776873525745914,True
EPS8L2,1.5005755706668022,True
ETS1,1.6153383160214956,True
ETV1,-1.761504407173228,True
F3,3.1357107134808055,True
FADS3,1.509599849520794,True
FAM25A,1.5927729561999167,True
FAS,3.002470117613747,True
FHL2,3.0975920213325274,True
FLNC,2.1759806926585625,True
FN1,-1.6799880190177356,True
FOLR1,-2.028888459635237,True
FOS,-3.0728718652181874,True
FOSB,-2.39958569864426,True
FOSL1,1.8968310386416358,True
FOXC1,-1.8005530773905962,True
GALNT3,-1.525699955650531,True
GALNT5,2.460381283304481,True
GDF15,2.220314084227087,True
GGT1,1.7218895280918907,True
GJB3,2.4387878753961587,True
GJB5,2.7493828666960054,True
GLIS3,1.5313553718568629,True
GPR87,3.8566067071434427,True
GRIN2C,1.8590455044209782,True
H1FX,-1.5093250146578472,True
HAS3,2.738728627993492,True
HBEGF,1.6857700388310455,True
HMSD,-2.862098597033194,True
HYPK,1.5159361232497857,True
ID2,-1.7767522581700395,True
IDH2,-2.1339447034084573,True
IFFO2,1.6439175091581013,True
IFITM1,-2.6257555921025073,True
IGFBP6,2.672935888425041,True
IGSF9,-1.606658702826499,True
IMPA2,-1.5499956070034862,True
INKA1,1.7580699493689667,True
INPP5D,1.5017385819730529,True
INSIG1,-1.9508984796190776,True
KCNQ1,-1.7958901050541731,True
KDELR3,-1.535202200142557,True
KLK5,2.8348110581552843,True
KLK6,2.2456882150694417,True
KLK7,2.1602212825313125,True
KLK8,2.1681282834152156,True
KLRC4,-1.7220996400957203,True
KLRK1,-1.9268280468516616,True
KRCC1,-1.7535830829258379,True
KRT15,2.2423106624381086,True
KRT19,2.267841716366451,True
KRT7,2.286859509713656,True
KRTAP2-3,4.422409690166061,True
LAMA3,2.082653197717695,True
LAMB3,3.178112666032003,True
LETM2,1.547196405055273,True
LIMD2,-1.5107022011410114,True
LURAP1L,2.1002415681920263,True
MACC1,1.6374799762793297,True
MDM2,3.2058144550516237,True
MEAK7,1.6149145252868657,True
METTL7A,-1.6664886994993038,True
MGLL,1.8352360885894732,True
MISP,1.634593583372328,True
MMP11,-1.5486461871436097,True
MYEOV,1.6497271479558173,True
MYO1E,1.7989425945819069,True
NAV3,1.7333657804987084,True
NDUFAF8,1.9880124489079873,True
NGFR,-1.6762889579198024,True
NOCT,1.6571663631642746,True
NR2F1,-1.823435734974481,True
NRG1,2.406319183396094,True
NT5E,1.5389954633727452,True
OGDHL,-1.5312826818243903,True
PAQR8,-1.5521495978446005,True
PARP10,-1.6479487852467058,True
PCK2,-1.7250530398995516,True
PCSK9,-1.9507903282687056,True
PHGDH,-2.274343579872267,True
PHLDA3,2.9181304022644308,True
