gene_name,P,logFC,significant
GCLC,0.00013797051649290683,2.0208441823429073,True
DBNDD1,7.929452239334732e-20,1.9264654932061336,True
PDK4,2.9098466346220784e-09,-2.0438255517261603,True
PRSS22,3.232763477622559e-15,1.9246310513775546,True
GGCT,2.4265359614739758e-11,1.7657959527186848,True
DCN,1.5375927543794256e-16,-1.6527828059791625,True
TACC3,2.0210726325106453e-19,1.6288484156513237,True
MTMR11,4.4154615403066237e-13,1.5642599911835293,True
HMGB3,6.916073028846592e-12,3.3940238253976056,True
METTL1,3.0537004620217887e-07,1.6445258575418256,True
ALDH18A1,1.5967730185072154e-24,1.580260374415971,True
VMP1,9.572157146861783e-30,1.762105513847193,True
LIMCH1,1.3967444394652967e-23,-1.5684991806118558,True
CALCRL,4.902415837124643e-18,-2.5633612464801105,True
PFKP,3.985614265118374e-15,2.201756798534801,True
KLF6,3.637229729856697e-14,-1.6465769340037348,True
CYBRD1,1.0285519968397424e-32,-1.9156292172126208,True
LAMP3,2.4020987369212054e-26,-2.212877043658871,True
EDN1,2.681326057924864e-10,-1.823777824941769,True
ITM2A,9.765365130462842e-14,-1.8613713037400919,True
TNS1,3.6552749350106156e-26,-1.989501076032217,True
CEACAM1,7.008568512549604e-12,1.8298468587419703,True
PAFAH1B3,1.1454931374409207e-14,2.2429696564869976,True
CXCL2,0.0005492071253051012,-1.5892777677160546,True
TESC,3.237306051720914e-05,3.7328752285469946,True
LTBP4,2.472995361586313e-15,-1.577933831498412,True
DTX2,2.8385077215226694e-19,1.5657215041161543,True
SH2D3C,8.011358714500443e-19,-1.5562726050558167,True
DSP,3.3368295119893925e-11,2.0185205797434675,True
SUSD2,1.547346438776792e-23,-1.7870509356959658,True
KDELR3,2.989023775292469e-18,2.0201612039188426,True
TIMP3,1.104025233040141e-19,-1.866504621505402,True
BIK,2.1547900274850345e-10,1.974662318296375,True
PLEK2,5.535859318559533e-16,1.9643534267954916,True
NFATC4,1.8443115761979838e-19,1.5920873755121958,True
PTK6,1.9703272644572343e-12,1.9224256201248113,True
MYL9,1.186922995845675e-25,-1.5014535111311325,True
E2F1,5.233179631244445e-12,1.5454718098026503,True
WFDC2,2.118677229343056e-10,1.7802099034774983,True
DNTTIP1,1.5563014587037038e-12,1.5338433562196048,True
TIMP1,1.4277723344339847e-16,1.5240749166735705,True
RGCC,1.2069781482258384e-22,-2.4094400846170703,True
ELMO3,4.502509390434259e-24,1.5323483409478,True
NME4,6.59459943939884e-17,1.5035278903667515,True
SLC7A5,7.408586245397282e-08,2.776422368048373,True
CA2,9.948061963435172e-12,-1.681240272498233,True
GFUS,5.722610651209281e-15,1.6636278755553617,True
MCM4,7.894038774640835e-13,1.912974909971896,True
CD79A,5.24915099480605e-05,1.5180227880070831,True
RASIP1,2.756332349689858e-20,-1.5148237558106505,True
CAV2,8.494627421849561e-32,-2.399834243528172,True
CAV1,8.181190707542695e-36,-3.1607775012857315,True
ABHD11,2.3093080607905602e-21,1.7404978192462917,True
AGR2,1.28776658622313e-07,2.6994125342125823,True
SPOCK2,3.551760729300456e-24,-2.5181011243809754,True
NPM3,3.9935192507527237e-22,1.5731604422077459,True
UBE2S,2.926036138447965e-13,1.559426177703169,True
RASD1,3.279912936203408e-05,1.6649213014662643,True
KAT2A,4.097576264878453e-34,2.2729845281964356,True
COL1A1,6.125304677452068e-11,3.0282839495408007,True
ABCC3,1.6652459280439098e-19,2.6965018631527577,True
UGDH,9.806812989964365e-08,1.8595666309923147,True
MDK,1.6151928714122426e-18,2.957370494788335,True
SLC22A18,3.311719270398821e-19,1.5938417144311365,True
SLC35F2,2.483244526018963e-20,1.6179485686529553,True
VWF,2.0001430121584363e-15,-2.0743444227324104,True
TIMELESS,1.6118150488808605e-20,1.52146512420011,True
GAPDH,1.289879676156122e-18,1.5328654681750176,True
NEDD9,5.582177645972204e-23,-1.816378302352426,True
SASH1,6.711035752457177e-20,-1.6128074907854861,True
HBEGF,7.90141172655333e-11,-1.8635528558004144,True
LMNB1,7.848638416898503e-17,1.583563219471927,True
ECT2,8.420830214664041e-14,1.5472302161414868,True
PODXL2,9.488968989799439e-15,2.95027223314446,True
REEP6,5.821485326534529e-12,2.3005354245718874,True
SPTBN1,6.879430181941686e-23,-1.6529002974720262,True
EFEMP1,1.5702050420456974e-37,-1.702696510188737,True
IGFBP2,0.0007029021144297984,1.574826346772274,True
QPCT,8.66797412532561e-06,2.1806229497799605,True
EPAS1,1.1299389441840932e-18,-2.4371844577302904,True
PLA2G4A,1.3642180639957213e-08,1.8049595310466298,True
SLC2A1,1.3939636906966973e-07,2.796474195202748,True
RSRP1,4.346265320609391e-26,1.5548866012176144,True
KLF9,1.9501025813313028e-15,-1.5765240353429217,True
EPCAM,2.570346146742298e-24,1.6925136560980052,True
DUSP4,2.0936349395141528e-06,2.1130526458256704,True
RDH10,1.5272612888272677e-05,1.544566441287041,True
CAT,2.3503311404977183e-44,-1.8088993321336297,True
RAMP3,3.844466798238606e-13,-2.4934723068411278,True
GLIPR2,6.332202527664581e-19,-1.82091316656347,True
SFTPA1,5.509539947304002e-25,-2.4772353744152094,True
PLAU,1.0929068708554096e-07,2.5134484413626534,True
ZWINT,1.6206105682582086e-17,2.2907491240578253,True
SOX4,6.646443395234171e-22,1.5366627779827995,True
AHNAK,1.9955341250017904e-22,-1.8779797434521857,True
FOSB,6.22213064754562e-06,-2.3860570767625835,True
CD93,1.5983123522454002e-19,-2.0208710479149743,True
FLRT3,4.882869625668715e-20,-1.7295144892446954,True
GNG11,7.564606596343312e-11,-1.6794060682721972,True
PAICS,4.2119734949750293e-22,1.6941618699229872,True
TXNDC17,2.447473920960457e-16,1.688020798126555,True
LDLR,1.7282379626188094e-09,-2.0346150201078763,True
GDF15,1.7309823966231086e-07,1.8593450663146085,True
COL5A1,9.207128524618956e-11,1.897685834916768,True
ARHGEF16,1.3211319299423351e-21,1.9136035472297672,True
SMPDL3B,2.816895985153018e-10,1.7584163849745422,True
SLC6A8,4.969979316160234e-08,1.508512171110161,True
EPS8L1,4.45919129573174e-15,1.5645559843826362,True
COX4I2,5.5046948289849746e-14,-1.6391392753304412,True
AOC3,7.582316301286919e-25,-2.2138880578813107,True
RAMP2,1.1795652062282778e-18,-2.363086039869159,True
TMEM204,3.122295763769658e-12,-1.5121888610154752,True
RAMP1,5.162782718561117e-08,2.6207307023137867,True
ITGB4,6.575368970799059e-08,1.6280782026227396,True
KHDC4,1.4188687018458183e-37,1.8736479910466712,True
VSTM2L,1.1619556612140153e-08,2.0243478449758507,True
ALOX5AP,2.1283987759808392e-14,-1.9193376329494527,True
GIMAP6,1.30740846186776e-23,-1.9784724513618246,True
SFTPD,5.598404983206762e-28,-2.0826818065616566,True
CCNB1,2.180647540290278e-18,2.40419437143253,True
FKBP11,3.3604245031020035e-18,1.681055110043303,True
EMP1,0.00014905549496865955,-1.7292280724884654,True
GOLM1,6.7987325782713516e-18,2.6971380246957044,True
LMO2,4.541880259079798e-21,-1.512977686654436,True
KLF4,7.949396199064393e-13,-1.8830557932582288,True
HMGA1,7.871118655910911e-11,2.215962554950666,True
LRRC32,1.5025639715492663e-12,-1.9091825167882552,True
SULF1,4.449879286720103e-09,1.8602049231867825,True
ANXA3,3.87406118809248e-25,-1.886250185848606,True
SLC39A8,3.8027924896406226e-39,-2.332806964291107,True
MAPK8IP3,1.1978873077558462e-24,1.8232280118405528,True
ACVRL1,5.2097594805994895e-22,-2.042030327091682,True
GALNT6,6.041458609034377e-12,1.6777334084865485,True
FBLN5,2.9985674854200112e-21,-1.6835286256568385,True
PMAIP1,4.3958571142266895e-06,1.636345305141275,True
P3H4,4.0366245045083864e-19,1.8122975644911141,True
FKBP10,2.8151096575819335e-09,1.9921757527504589,True
PGGHG,4.964856427434873e-15,2.9166579906620713,True
RCN3,2.2066369705820297e-11,1.9068137208617006,True
ARHGEF19,1.482152296754353e-13,1.5938763420176165,True
NECTIN4,3.0265897374572886e-20,2.4199033309491313,True
CRABP2,7.01725117184186e-08,5.21101917698801,True
XPR1,7.85105300284902e-15,1.5898495238244097,True
ECM1,0.0008963291905459354,1.820970132806788,True
HES6,9.667083676603341e-07,2.55344834416839,True
CSRNP1,1.3223602833007033e-11,-1.8921286098800139,True
MANF,6.286133735007766e-19,1.5192662251061406,True
OCIAD2,2.541865387944342e-22,1.9891090091964863,True
TNFRSF21,1.8610407163343807e-18,1.8604606173038956,True
TPBG,1.741519738822434e-18,1.6090058071391842,True
IGFBP3,1.2800525429127462e-09,2.0108396021979216,True
TMEM47,1.50937604107832e-21,-1.6670396498436217,True
TACC1,5.234556543234802e-27,-1.6673037643249526,True
SLC39A4,1.8919377902785686e-15,1.5183290167601995,True
PTGES,2.761173869703776e-07,2.779304874176711,True
LCN2,0.0019109410845953704,3.2922457138694035,True
